Timestamp,x,y,h
0,-5, 4, 0
1,-3, 4, 0
2,-1, 4, 0
3, 1, 4, 0
4, 3, 4, 0
5, 5, 4, 0
6, 5, 6, 0
7, 3, 6, 0
8, 1, 6, 0
9,-1, 6, 0
10, -3, 6, 0
11, -5, 6, 0
12, -5, 8, 0
13, -3, 8, 0
14, -1, 8, 0
15,  1, 8, 0
16,  3, 8, 0
17,  5, 8, 0
18,  5, 10, 0
19,  3, 10, 0
20,  1, 10, 0
21, -1, 10, 0
22, -3, 10, 0
23, -5, 10, 0
24, -5, 12, 0
25, -3, 12, 0
26, -1, 12, 0
27,  1, 12, 0
28,  3, 12, 0
29,  5, 12, 0
30   5, 14, 0
31,  3, 14, 0
32,  1, 14, 0
33, -1, 14, 0
34, -3, 14, 0
35, -5, 14, 0
